level,category,ex_top,kanji,ex_bottom,yomi
two,yomi,自然豊かで,酪農,が盛んだ。,らくのう
two,yomi,,彙報,を発行する。,いほう
two,yomi,,刹那,主義の若輩。,せつな
two,yomi,今回の台風は,甚大,な被害をもたらした。,じんだい
two,yomi,汚職事件には強い,憤り,を感じる。,いきどおり
two,yomi,息子を,溺愛,する。,できあい
two,yomi,盗難事件が,頻発,している。,ひんぱつ
two,yomi,決定するには時期,尚早,だ。,しょうそう
two,yomi,否定派が,肯定,派を上回る。,こうてい
two,yomi,登山時は,雪渓,に注意が必要だ。,せっけい
two,yomi,織田家の,嫡子,である信長に嫁ぐ。,ちゃくし
two,yomi,,臆面,もなく話す。,おくめん
two,yomi,作物が,霜害,の被害を受ける。,そうがい
two,yomi,対戦相手を,一蹴,する。,いっしゅう
two,yomi,有害物質による,土壌,の汚染が深刻化している。,どじょう
two,yomi,障害物を避けるために,旋回,する。,せんかい
two,yomi,,醜悪,な争いが後を絶たない。,しゅうあく
two,yomi,彼の本性が,露呈,された。,ろてい
two,yomi,特徴が,顕著,に現れる。,けんちょ
two,yomi,外交文書に,国璽,が押される。,こくじ
two,yomi,隣人に,会釈,してすれ違った。,えしゃく
two,yomi,,土壇場,での大逆転。,どたんば
two,yomi,,愁嘆場,を演じる。,しゅうたんば
two,yomi,冥福を祈り,回向,する。,えこう
two,yomi,公の弾劾により,罷免,される。,ひめん
two,yomi,試作品を,頒布,する。,はんぷ
two,yomi,大声で,脅嚇,する。,きょうかく
two,yomi,川辺に,蚊柱,が立つ。,かばしら
two,yomi,路盤に,砕石,を用いる。,さいせき
two,yomi,記事を,抄訳,する。,しょうやく
two,yomi,,曖昧,な表現を避ける。,あいまい
two,yomi,植物の,種苗,。,しゅびょう
two,yomi,気持ちが,萎縮,する。,いしゅく
two,yomi,人生の意味を,思索,する。,しさく
two,yomi,,漆,は塗料のほか接着剤としても用いられる。,うるし
two,yomi,人気の海外,製靴,メーカー。,せいか
two,yomi,,咽喉,を痛める。,いんこう
two,yomi,子どもたちが集まって,童歌,を歌う。,わらべうた
two,yomi,土日は工場が,稼働,していない。,かどう
two,yomi,ここ数年で収穫量が,逓減,している。,ていげん
two,yomi,総理大臣の,椅子,。,いす
two,yomi,,誓約書,にサインする。,せいやくしょ
two,yomi,印紙を,貼用,する。,ちょうよう
two,yomi,,紙幣,の両替を頼む。,しへい
two,yomi,,危惧,の念を抱く。,きぐ
two,yomi,早朝から市場では,競り,が行われる。,せり
two,yomi,,怨恨,による事件と判明した。,えんこん
two,yomi,,挨拶,を交わす。,あいさつ
two,yomi,,宛先,を確認する。,あてさき
two,yomi,出産祝いに,産着,を送る。,うぶぎ
two,yomi,,疎遠,になった友人と久々に再会する。,そえん
two,yomi,川に落ちて,溺死,する。,できし
two,yomi,,畏怖,の念を抱く。,いふ
two,yomi,資金集めに,狂奔,する。,きょうほん
two,yomi,近所では有名な,愛猫,家だ。,あいびょう
